Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Eventos_Nivel Danio,Chrome 72.0.3626.119,,2019-03-05 15:58:35,2019-03-05 16:00:35,"2m - 0,067s",FAILED
,,,,,,
Test Cases/1.Configuraciones/1.Niveles de Danio/1.Crear,Chrome 72.0.3626.119,,2019-03-05 15:58:36,2019-03-05 15:59:22,"46,552s",PASSED
callTestCase,Chrome 72.0.3626.119,,2019-03-05 15:58:36,2019-03-05 15:58:58,"21,892s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:58:58,2019-03-05 15:59:00,"2,014s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:00,2019-03-05 15:59:00,"0,070s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:00,2019-03-05 15:59:02,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:02,2019-03-05 15:59:02,"0,032s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:02,2019-03-05 15:59:04,"2,004s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 15:59:04,2019-03-05 15:59:09,"4,356s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:09,2019-03-05 15:59:11,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:11,2019-03-05 15:59:11,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:11,2019-03-05 15:59:13,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 15:59:13,2019-03-05 15:59:13,"0,216s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:13,2019-03-05 15:59:15,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 15:59:15,2019-03-05 15:59:15,"0,282s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:15,2019-03-05 15:59:17,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:17,2019-03-05 15:59:17,"0,027s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:17,2019-03-05 15:59:19,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:19,2019-03-05 15:59:19,"0,016s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:19,2019-03-05 15:59:22,"3,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/1.Niveles de Danio/2.Ver,Chrome 72.0.3626.119,,2019-03-05 15:59:22,2019-03-05 15:59:40,"18,004s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:22,2019-03-05 15:59:24,"2,002s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 15:59:24,2019-03-05 15:59:32,"7,590s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:32,2019-03-05 15:59:34,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:34,2019-03-05 15:59:34,"0,028s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:34,2019-03-05 15:59:36,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:36,2019-03-05 15:59:36,"0,035s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:36,2019-03-05 15:59:38,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:38,2019-03-05 15:59:38,"0,036s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:38,2019-03-05 15:59:40,"2,002s",PASSED
,,,,,,
Test Cases/1.Configuraciones/1.Niveles de Danio/3.Inhabilitar,Chrome 72.0.3626.119,,2019-03-05 15:59:40,2019-03-05 15:59:59,"18,486s",FAILED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:40,2019-03-05 15:59:42,"2,008s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 15:59:42,2019-03-05 15:59:50,"7,212s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:50,2019-03-05 15:59:52,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:52,2019-03-05 15:59:52,"0,028s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:52,2019-03-05 15:59:54,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:54,2019-03-05 15:59:54,"0,029s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:54,2019-03-05 15:59:56,"2,005s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 15:59:56,2019-03-05 15:59:56,"0,021s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 15:59:56,2019-03-05 15:59:58,"2,003s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-05 15:59:58,2019-03-05 15:59:59,"0,865s",FAILED
,,,,,,
Test Cases/1.Configuraciones/1.Niveles de Danio/4.Editar,Chrome 72.0.3626.119,,2019-03-05 15:59:59,2019-03-05 16:00:21,"22,576s",PASSED
