Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 17:12:36,2019-03-05 17:12:39,"2,564s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:39,2019-03-05 17:12:41,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:41,2019-03-05 17:12:41,"0,028s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:41,2019-03-05 17:12:43,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:43,2019-03-05 17:12:43,"0,040s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:43,2019-03-05 17:12:45,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 17:12:45,2019-03-05 17:12:45,"0,271s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:45,2019-03-05 17:12:47,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 17:12:47,2019-03-05 17:12:47,"0,219s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:47,2019-03-05 17:12:49,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:49,2019-03-05 17:12:49,"0,041s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:49,2019-03-05 17:12:51,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:51,2019-03-05 17:12:51,"0,014s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:51,2019-03-05 17:12:54,"3,001s",PASSED
,,,,,,
Test Cases/1.Configuraciones/2.Danios/5.Eliminar,Chrome 72.0.3626.119,,2019-03-05 17:12:54,2019-03-05 17:13:09,"14,146s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:55,2019-03-05 17:12:57,"2,003s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 17:12:57,2019-03-05 17:13:00,"2,783s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:13:00,2019-03-05 17:13:02,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:13:02,2019-03-05 17:13:02,"0,030s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:13:02,2019-03-05 17:13:04,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:13:04,2019-03-05 17:13:04,"0,020s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:13:04,2019-03-05 17:13:06,"2,004s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-05 17:13:06,2019-03-05 17:13:06,"0,015s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:13:06,2019-03-05 17:13:06,"0,036s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:13:06,2019-03-05 17:13:09,"3,001s",PASSED
