Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
acceptAlert,Chrome 72.0.3626.119,,2019-03-06 17:15:25,2019-03-06 17:15:25,"0,045s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:25,2019-03-06 17:15:35,"10,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:35,2019-03-06 17:15:35,"0,021s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:35,2019-03-06 17:15:37,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:37,2019-03-06 17:15:37,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:37,2019-03-06 17:15:39,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:39,2019-03-06 17:15:39,"0,037s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:39,2019-03-06 17:15:41,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:41,2019-03-06 17:15:41,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:41,2019-03-06 17:15:43,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:43,2019-03-06 17:15:43,"0,037s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:43,2019-03-06 17:15:46,"3,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/6.Insumos/4.Editar,Chrome 72.0.3626.119,,2019-03-06 17:15:46,2019-03-06 17:16:21,"35,074s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:46,2019-03-06 17:15:48,"2,003s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 17:15:48,2019-03-06 17:15:50,"2,037s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:50,2019-03-06 17:15:52,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:52,2019-03-06 17:15:52,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:52,2019-03-06 17:15:54,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:54,2019-03-06 17:15:54,"0,035s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:54,2019-03-06 17:15:56,"2,003s",PASSED
selectOptionByValue,Chrome 72.0.3626.119,,2019-03-06 17:15:56,2019-03-06 17:15:56,"0,173s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:56,2019-03-06 17:15:58,"2,002s",PASSED
