Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 72.0.3626.119,,2019-03-05 16:22:44,2019-03-05 16:22:46,"2,001s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 16:22:46,2019-03-05 16:22:48,"2,338s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:22:48,2019-03-05 16:22:50,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:22:50,2019-03-05 16:22:51,"0,024s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:22:51,2019-03-05 16:22:53,"2,005s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:22:53,2019-03-05 16:22:53,"0,031s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:22:53,2019-03-05 16:22:55,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 16:22:55,2019-03-05 16:22:55,"0,265s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:22:55,2019-03-05 16:22:57,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 16:22:57,2019-03-05 16:22:57,"0,244s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:22:57,2019-03-05 16:22:59,"2,001s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:22:59,2019-03-05 16:22:59,"0,050s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:22:59,2019-03-05 16:23:01,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:23:01,2019-03-05 16:23:01,"0,011s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:23:01,2019-03-05 16:23:04,"3,001s",PASSED
,,,,,,
Test Cases/1.Configuraciones/1.Niveles de Danio/5.Eliminar,Chrome 72.0.3626.119,,2019-03-05 16:23:04,2019-03-05 16:23:18,"14,149s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:23:04,2019-03-05 16:23:06,"2,002s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 16:23:06,2019-03-05 16:23:09,"2,750s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:23:09,2019-03-05 16:23:11,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:23:11,2019-03-05 16:23:11,"0,027s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:23:11,2019-03-05 16:23:13,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:23:13,2019-03-05 16:23:13,"0,020s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:23:13,2019-03-05 16:23:15,"2,003s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-05 16:23:15,2019-03-05 16:23:15,"0,014s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:23:15,2019-03-05 16:23:15,"0,031s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:23:15,2019-03-05 16:23:18,"3,001s",PASSED
