Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:34,2019-03-06 11:00:36,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:36,2019-03-06 11:00:36,"0,030s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:36,2019-03-06 11:00:38,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:38,2019-03-06 11:00:38,"0,048s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:38,2019-03-06 11:00:40,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:40,2019-03-06 11:00:40,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:40,2019-03-06 11:00:43,"3,002s",PASSED
,,,,,,
Test Cases/1.Configuraciones/3.Diagnosticos/4.Editar,Chrome 72.0.3626.119,,2019-03-06 11:00:43,2019-03-06 11:01:12,"28,975s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 11:00:43,2019-03-06 11:00:46,"2,549s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:46,2019-03-06 11:00:48,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:48,2019-03-06 11:00:48,"0,026s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:48,2019-03-06 11:00:50,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:50,2019-03-06 11:00:50,"0,038s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:50,2019-03-06 11:00:52,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:52,2019-03-06 11:00:52,"0,139s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:52,2019-03-06 11:00:54,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:54,2019-03-06 11:00:54,"0,180s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:54,2019-03-06 11:00:56,"2,001s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:56,2019-03-06 11:00:56,"0,123s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:56,2019-03-06 11:00:58,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:58,2019-03-06 11:00:58,"0,140s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:58,2019-03-06 11:01:00,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:01:00,2019-03-06 11:01:00,"0,177s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:00,2019-03-06 11:01:03,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:03,2019-03-06 11:01:03,"0,027s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:03,2019-03-06 11:01:05,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:01:05,2019-03-06 11:01:05,"0,210s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:05,2019-03-06 11:01:07,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:07,2019-03-06 11:01:07,"0,047s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:07,2019-03-06 11:01:09,"2,001s",PASSED
