Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/1.Configuraciones/5.Tipos de Insumos/4.Editar,Chrome 72.0.3626.119,,2019-03-06 14:35:27,2019-03-06 14:35:56,"29,240s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:27,2019-03-06 14:35:29,"2,002s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 14:35:29,2019-03-06 14:35:38,"9,333s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:38,2019-03-06 14:35:40,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:40,2019-03-06 14:35:40,"0,016s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:40,2019-03-06 14:35:42,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:42,2019-03-06 14:35:42,"0,033s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:42,2019-03-06 14:35:44,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 14:35:44,2019-03-06 14:35:45,"0,181s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:45,2019-03-06 14:35:47,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 14:35:47,2019-03-06 14:35:47,"0,220s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:47,2019-03-06 14:35:49,"2,003s",PASSED
click,Chrome 72.0.3626.119,,2019-03-06 14:35:49,2019-03-06 14:35:49,"0,093s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:49,2019-03-06 14:35:51,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:51,2019-03-06 14:35:51,"0,043s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:51,2019-03-06 14:35:53,"2,001s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:53,2019-03-06 14:35:53,"0,032s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:53,2019-03-06 14:35:56,"3,001s",PASSED
,,,,,,
Test Cases/1.Configuraciones/5.Tipos de Insumos/5.Eliminar,Chrome 72.0.3626.119,,2019-03-06 14:35:56,2019-03-06 14:36:09,"13,288s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:56,2019-03-06 14:35:58,"2,005s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 14:35:58,2019-03-06 14:36:00,"1,945s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:36:00,2019-03-06 14:36:02,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:36:02,2019-03-06 14:36:02,"0,024s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:36:02,2019-03-06 14:36:04,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:36:04,2019-03-06 14:36:04,"0,018s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:36:04,2019-03-06 14:36:06,"2,005s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-06 14:36:06,2019-03-06 14:36:06,"0,013s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:36:06,2019-03-06 14:36:09,"3,003s",PASSED
